(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),20,242,1.0000,0.9416,0.7136,0.5023,0.7136,9.17 min
(torneo punto elitismo),28,250,0.9991,0.9535,0.7072,0.5096,0.7194,17.95 min
(torneo punto truncamiento),15,245,0.9995,0.9399,0.7122,0.4919,0.7106,17.98 min
(torneo varios_puntos reemplazo),22,264,0.9998,0.9490,0.7207,0.4791,0.7117,8.72 min
(torneo varios_puntos elitismo),27,250,1.0000,0.9499,0.7238,0.5003,0.7159,17.75 min
(torneo varios_puntos truncamiento),16,267,0.9996,0.9453,0.7130,0.4702,0.7069,17.46 min
(torneo uniforme reemplazo),49,160,0.9998,0.9676,0.7202,0.5754,0.7562,9.40 min
(torneo uniforme elitismo),50,160,0.9993,0.9662,0.7344,0.5775,0.7574,19.16 min
(torneo uniforme truncamiento),49,218,0.9993,0.9747,0.7215,0.5579,0.7464,19.13 min
(fitness punto reemplazo),6,266,1.0000,0.9168,0.7097,0.4719,0.6908,9.17 min
(fitness punto elitismo),46,267,0.9997,0.9198,0.7170,0.4788,0.6933,18.43 min
(fitness punto truncamiento),49,231,0.9997,0.9322,0.7195,0.5135,0.7129,18.29 min
(fitness varios_puntos reemplazo),21,259,1.0000,0.9192,0.7084,0.4584,0.6909,9.19 min
(fitness varios_puntos elitismo),23,277,1.0000,0.9199,0.7104,0.4836,0.6930,18.60 min
(fitness varios_puntos truncamiento),50,248,1.0000,0.9467,0.7113,0.4950,0.7150,18.70 min
(fitness uniforme reemplazo),9,272,1.0000,0.9261,0.7054,0.4477,0.6900,9.66 min
(fitness uniforme elitismo),49,259,1.0000,0.9142,0.7121,0.4782,0.6914,18.96 min
(fitness uniforme truncamiento),50,226,1.0000,0.9162,0.7173,0.5061,0.7052,19.16 min
(rango punto reemplazo),47,227,0.9997,0.9439,0.7132,0.4952,0.7181,8.93 min
(rango punto elitismo),50,242,1.0000,0.9422,0.7246,0.4863,0.7132,17.93 min
(rango punto truncamiento),44,247,1.0000,0.9585,0.7219,0.4749,0.7203,18.23 min
(rango varios_puntos reemplazo),50,224,1.0000,0.9327,0.7180,0.5149,0.7132,9.45 min
(rango varios_puntos elitismo),49,228,1.0000,0.9378,0.7166,0.4946,0.7134,18.32 min
(rango varios_puntos truncamiento),50,234,0.9997,0.9493,0.7244,0.4849,0.7174,18.56 min
(rango uniforme reemplazo),48,214,1.0000,0.9217,0.7256,0.5264,0.7123,9.68 min
(rango uniforme elitismo),48,204,0.9995,0.9237,0.7224,0.5011,0.7125,19.08 min
(rango uniforme truncamiento),47,210,1.0000,0.9203,0.7183,0.5369,0.7140,19.44 min
,,,,,,,,6.94 hr
