Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6842,278,1.0000,0.9113,0.7128,0.0113,21.11 seg
2,0.6886,276,1.0000,0.9178,0.7121,0.0074,21.94 seg
3,0.6912,271,1.0000,0.9194,0.7131,0.0068,21.77 seg
4,0.6932,269,1.0000,0.9217,0.7151,0.0067,21.69 seg
5,0.6958,262,1.0000,0.9232,0.7150,0.0062,21.40 seg
6,0.6973,264,1.0000,0.9257,0.7148,0.0062,21.47 seg
7,0.6997,256,1.0000,0.9259,0.7148,0.0059,22.04 seg
8,0.7014,256,0.9999,0.9288,0.7155,0.0054,21.91 seg
9,0.7034,254,0.9999,0.9315,0.7164,0.0046,21.40 seg
10,0.7043,254,0.9999,0.9345,0.7150,0.0039,21.16 seg
11,0.7059,253,0.9999,0.9342,0.7186,0.0028,20.96 seg
12,0.7070,254,0.9999,0.9373,0.7178,0.0023,21.57 seg
13,0.7080,253,0.9999,0.9371,0.7192,0.0019,22.04 seg
14,0.7089,252,0.9999,0.9391,0.7188,0.0019,21.56 seg
15,0.7097,250,0.9999,0.9395,0.7197,0.0014,20.73 seg
16,0.7102,252,0.9999,0.9416,0.7184,0.0015,21.06 seg
17,0.7110,250,0.9999,0.9418,0.7199,0.0012,20.71 seg
18,0.7118,250,0.9999,0.9431,0.7199,0.0011,21.69 seg
19,0.7124,249,0.9999,0.9433,0.7202,0.0011,22.28 seg
20,0.7126,249,0.9999,0.9441,0.7199,0.0008,21.49 seg
21,0.7128,250,0.9999,0.9449,0.7199,0.0005,20.82 seg
22,0.7133,250,0.9998,0.9452,0.7200,0.0004,21.25 seg
23,0.7135,249,0.9998,0.9457,0.7198,0.0003,20.97 seg
24,0.7136,249,0.9998,0.9456,0.7201,0.0003,21.14 seg
25,0.7136,250,0.9998,0.9462,0.7199,0.0003,22.90 seg
26,0.7138,250,0.9998,0.9466,0.7197,0.0003,22.21 seg
27,0.7138,250,0.9997,0.9467,0.7199,0.0002,21.31 seg
28,0.7137,250,0.9997,0.9466,0.7200,0.0002,21.29 seg
29,0.7137,250,0.9997,0.9466,0.7201,0.0002,21.29 seg
30,0.7137,250,0.9997,0.9466,0.7201,0.0001,20.92 seg
31,0.7137,250,0.9997,0.9466,0.7201,0.0000,20.86 seg
32,0.7136,251,0.9997,0.9466,0.7201,0.0000,20.75 seg
33,0.7136,251,0.9997,0.9466,0.7201,0.0000,22.69 seg
34,0.7135,251,0.9996,0.9465,0.7201,0.0000,21.64 seg
35,0.7134,251,0.9996,0.9465,0.7201,0.0000,21.68 seg
36,0.7134,251,0.9996,0.9465,0.7201,0.0000,21.30 seg
37,0.7133,252,0.9995,0.9465,0.7201,0.0000,20.81 seg
38,0.7133,252,0.9995,0.9466,0.7202,0.0000,21.25 seg
39,0.7133,252,0.9995,0.9466,0.7202,0.0000,20.66 seg
40,0.7133,252,0.9995,0.9466,0.7202,0.0000,20.89 seg
41,0.7133,252,0.9995,0.9466,0.7202,0.0000,20.79 seg
42,0.7133,252,0.9995,0.9466,0.7202,0.0000,22.93 seg
43,0.7132,253,0.9994,0.9466,0.7202,0.0000,21.86 seg
44,0.7132,253,0.9994,0.9466,0.7202,0.0000,21.81 seg
45,0.7131,253,0.9994,0.9465,0.7202,0.0000,21.18 seg
46,0.7131,253,0.9994,0.9466,0.7202,0.0000,20.78 seg
47,0.7131,253,0.9994,0.9466,0.7202,0.0000,20.77 seg
48,0.7131,253,0.9994,0.9466,0.7202,0.0000,21.19 seg
49,0.7131,253,0.9994,0.9466,0.7202,0.0000,20.85 seg
50,0.7131,253,0.9994,0.9466,0.7203,0.0000,20.66 seg
